Year,id,Country Name,lnTHE,lnNCDs,lnSFI,lnIWR,lnOD,OD,THE
2000,1,Albania,1.518503793,4.418840608,4.423648309,4.565389316,-0.105360516,0.9,4.304454544
2012,1,Albania,1.51690117,4.494238625,4.522874943,4.558078578,-1.609437912,0.2,239.512868
2000,2,Algeria,1.502796271,4.241326753,4.42604352,4.494238625,1.85629799,6.399999998,61.3028968
2012,2,Algeria,1.490986324,4.347693956,4.465908119,4.441474093,0.530628251,1.7,335.2690913
2000,3,Angola,1.340799564,2.809402695,3.46885603,3.822098298,3.972176928,53.09999999,16.8991726
2012,3,Angola,1.352485643,3.18221184,3.893859035,3.867025639,3.493472658,32.90000001,168.0272175
2000,4,Argentina,1.518959073,4.385769621,4.515245478,4.567468319,0.405465108,1.5,706.9049934
2012,4,Argentina,1.524113387,4.399375273,4.559126247,4.591071262,0.405465108,1.5,726.794348
2000,5,Armenia,1.510344195,4.507557357,4.492001488,4.528289142,-2.302585093,0.1,38.82927308
2012,5,Armenia,1.526526992,4.520701029,4.494238625,4.602165677,-4.605170186,0.01,149.9280612
2000,6,Azerbaijan,1.459873656,4.32677816,4.183575696,4.305415532,-2.302585093,0.1,30.29752579
2012,6,Azerbaijan,1.489922472,4.432006567,4.439115602,4.436751534,-1.203972804,0.3,399.4974287
2000,7,Bangladesh,1.46573689,3.768152635,3.815512105,4.33073334,2.954910279,19.2,9.126874591
2012,7,Bangladesh,1.490720938,4.077537444,4.055257174,4.440295543,0.875468737,2.399999999,25.58110909
2000,8,Belarus,1.526090573,4.463606622,4.551769409,4.600157644,-4.605170186,0.01,74.96563961
2012,8,Belarus,1.526526992,4.48638665,4.547541073,4.602165677,-4.605170186,0.01,335.9661598
2000,9,Belize,1.49151595,4.092676505,4.415219602,4.443827036,1.410986974,4.100000001,133.7244256
2012,9,Belize,1.525653085,4.180522258,4.502029427,4.598145571,0.875468737,2.399999999,254.8920398
2000,10,Benin,1.43261833,3.261935314,2.4765384,4.189654742,4.229749199,68.69999998,14.72882077
2012,10,Benin,1.46634356,3.586292865,2.912350665,4.333361463,4.021773869,55.79999998,36.45471794
2000,11,Bhutan,1.488315069,3.640214282,3.433987204,4.429625613,2.360854001,10.6,53.80294858
2012,11,Bhutan,1.522783013,4.032469159,3.899950424,4.584967479,0.875468737,2.399999999,90.82385578
2000,12,Bolivia,1.473474238,3.867025639,3.629660094,4.364371699,3.523415014,33.89999999,57.09498024
2012,12,Bolivia,1.500293034,4.072439727,3.879499814,4.483002552,2.928523524,18.7,149.3399802
2000,13,Bosnia and Herzegovina,1.521666766,4.493120682,4.552823706,4.579852378,-0.356674944,0.7,103.7920705
2012,13,Bosnia and Herzegovina,1.526090573,4.515245478,4.551769409,4.600157644,-4.605170186,0.01,446.7523901
2000,14,Botswana,1.515284144,2.674148649,3.943521672,4.550714,3.152736022,23.39999999,154.7856573
2012,14,Botswana,1.518503793,3.605497845,4.133565275,4.565389316,2.701361213,14.9,427.5167761
2000,15,Brazil,1.512477888,4.25561271,4.313480092,4.537961436,2.208274414,9.100000004,262.7587169
2012,15,Brazil,1.521666766,4.30676415,4.401829262,4.579852378,1.098612289,3.000000001,984.9225464
2000,16,Bulgaria,1.526526992,4.520701029,4.449685283,4.602165677,-4.605170186,0.01,97.88239441
2012,16,Bulgaria,1.526090573,4.540098189,4.454347296,4.600157644,-4.605170186,0.01,519.4822425
2000,17,Burkina Faso,1.409199158,2.949688335,2.451005098,4.092676505,4.247065649,69.89999998,11.47632692
2012,17,Burkina Faso,1.482298392,3.465735903,2.923161581,4.403054002,4.039536326,56.80000002,35.85136921
2000,18,Burundi,1.452523127,2.975529566,3.790984677,4.273884476,1.098612289,3.000000001,6.40394782
2012,18,Burundi,1.463597967,3.346389145,3.860729711,4.321480135,1.029619417,2.799999999,20.34701459
2000,19,Cabo Verde,1.484234134,4.070734697,3.77505715,4.411585437,3.713572067,41.00000001,59.10591778
2012,19,Cabo Verde,1.504774367,4.229749199,4.220977213,4.50313746,3.27336401,26.4,161.1623503
2000,20,Cambodia,1.315898765,3.46260601,2.791165108,3.728100167,4.312140507,74.59999998,17.63071233
2012,20,Cambodia,1.442486526,3.947390149,3.616308761,4.231203745,3.974058396,53.19999998,59.1202073
2000,21,Cameroon,1.416407362,3.161246712,3.742420221,4.122283931,2.163323026,8.700000003,26.11833905
2012,21,Cameroon,1.459873656,3.433987204,3.811097087,4.305415532,1.808288771,6.099999999,53.03231422
2000,22,Central African Republic,1.419527607,2.747270914,2.844909384,4.135166557,3.342861805,28.30000001,10.39547393
2012,22,Central African Republic,1.440414241,3.000719815,3.068052935,4.222444565,3.113515309,22.5,17.01594079
2000,23,Chad,1.334994094,2.87356464,2.272125886,3.799973502,4.279440046,72.20000001,10.41974525
2012,23,Chad,1.367602224,3.044522438,2.48490665,3.925925911,4.168214411,64.60000001,29.1835886
2000,24,China,1.478365123,4.377014093,4.074141855,4.385769621,1.30833282,3.700000001,43.62610863
2012,24,China,1.511769453,4.467056884,4.291828367,4.534747722,-0.223143551,0.8,328.6597654
2000,25,Colombia,1.503788008,4.050044303,4.312140507,4.498697941,2.351375257,10.5,146.006666
2012,25,Colombia,1.506974285,4.238444906,4.384523515,4.513054897,1.648658626,5.200000002,546.7083772
2000,26,Comoros,1.504281857,3.538056564,3.222867846,4.500920165,-0.510825624,0.6,13.10718446
2012,26,Comoros,1.504281857,3.624340933,3.532225644,4.500920165,-0.356674944,0.7,55.30182125
2000,27,"Congo, Dem. Rep.",1.348663364,2.895911938,3.122364924,3.852273001,2.564949357,12.99999999,18.15912265
2012,27,"Congo, Dem. Rep.",1.371088885,3.152736022,3.317815773,3.939638172,2.370243741,10.69999999,14.7111428
2000,28,"Congo, Rep.",1.443855675,3.144152279,2.541601993,4.237000863,2.151762203,8.599999998,22.00668395
2012,28,"Congo, Rep.",1.463597967,3.404525172,2.681021529,4.321480135,2.104134154,8.199999998,126.8917411
2000,29,Costa Rica,1.516209937,4.370712875,4.515245478,4.55492897,0.09531018,1.1,289.4074399
2012,29,Costa Rica,1.521666766,4.416428061,4.54648119,4.579852378,-2.302585093,0.1,930.4819977
2000,30,Cote d'Ivoire,1.471422413,3.04927304,2.867898902,4.355425953,3.493472658,32.90000001,38.93627736
2012,30,Cote d'Ivoire,1.480903215,3.424262655,3.072693315,4.396915247,3.314186005,27.50000001,78.71820381
2000,31,Cuba,1.505510639,4.378269586,4.462453884,4.506454213,0.587786665,1.8,166.3347149
