Year,id,Country Name,lnGNI,lnNCDs,lnSFI,lnOPhE,lnIWR,GNI,,,,,,,,,,,,,,,,OPHE,lnGNI,OD,IWR,5.478607144
2000,1,Albania,7.064759028,4.418840608,4.423648309,4.156053615,4.565389316,1170,,,,,,,,,,,,,,,,63.81917,7.064759028,0.9,96.1,4.115827098
2012,1,Albania,8.380227336,4.494238625,4.522874943,3.929747003,4.558078578,4359.999999,,,,,,,,,,,,,,,,50.8941,8.380227336,0.2,95.4,5.814933467
2000,2,Algeria,7.371489295,4.241326753,4.42604352,3.250161679,4.494238625,1590,,,,,,,,,,,,,,,,25.79451,7.371489295,6.4,89.5,2.827264662
2012,2,Algeria,8.556413905,4.347693956,4.465908119,3.246497218,4.441474093,5200.000002,,,,,,,,,,,,,,,,25.70016,8.556413905,1.7,84.9,5.124125975
2000,3,Angola,5.966146739,2.809402695,3.46885603,3.114461972,3.822098298,390,,,,,,,,,,,,,,,,22.52131,5.966146739,53.1,45.7,6.560896277
2012,3,Angola,8.328451067,3.18221184,3.893859035,3.177112137,3.867025639,4140.000001,,,,,,,,,,,,,,,,23.97741,8.328451067,32.9,47.8,6.58864356
2000,4,Argentina,8.914626128,4.385769621,4.515245478,3.368471346,4.567468319,7440.000001,,,,,,,,,,,,,,,,29.03411,8.914626128,1.5,96.3,3.659174423
2012,4,Argentina,9.381769488,4.399375273,4.559126247,3.291008934,4.591071262,11870,,,,,,,,,,,,,,,,26.86996,9.381769488,1.5,98.6,5.010155587
2000,5,Armenia,6.492239835,4.507557357,4.492001488,4.348321831,4.528289142,660,,,,,,,,,,,,,,,,77.34855,6.492239835,0.1,92.6,3.411066052
2012,5,Armenia,8.232174236,4.520701029,4.494238625,3.999480799,4.602165677,3759.999999,,,,,,,,,,,,,,,,54.56981,8.232174236,0.01,99.7,5.990207329
2000,6,Azerbaijan,6.413458957,4.32677816,4.183575696,4.14735786,4.305415532,609.9999999,,,,,,,,,,,,,,,,63.26662,6.413458957,0.1,74.1,2.211223313
